Assessor;Sample;Replicate;Cherry.aroma;Apple.aroma;Lime.zest.aroma;Unfresh.aroma;Metallic.aroma;Cherry.flavour;Apple.flavour;Lime.zest.fl.;Sweet.taste;Sour.taste;After.taste;Astringency;Creamy;Fla;Fib
HC;FD_FLA0FIB0;1;14.7;14.4;0;0.75;0.15;15;10.8;0;6.9;9;10.65;13.35;0.15;FLA0;FIB0
HC;FD_FLA0FIB0;2;10.2;13.65;0;10.5;14.55;15;10.95;0;1.95;6;12.6;5.1;0;FLA0;FIB0
HC;FD_FLA0FIB0;3;13.8;14.25;0;10.5;14.85;13.05;14.1;0;7.35;9.6;15;14.4;0;FLA0;FIB0
HC;FD_FLA0FIB1;1;12.45;14.7;0;8.25;15;15;13.35;0;9.45;1.65;15;0.15;8.25;FLA0;FIB1
HC;FD_FLA0FIB1;2;11.1;12.75;0;12.3;15;12.3;14.4;0;14.85;0.3;8.1;2.7;6.9;FLA0;FIB1
HC;FD_FLA0FIB1;3;14.85;14.85;0;6.15;14.85;8.7;7.05;0.15;12.15;0.9;15;12;5.85;FLA0;FIB1
HC;FD_FLA0FIB2;1;11.55;14.85;0.15;11.25;15;12;14.7;0;14.85;1.2;14.7;3;12.45;FLA0;FIB2
HC;FD_FLA0FIB2;2;9.45;14.7;0.15;7.65;10.65;14.7;14.4;0;14.85;0.45;1.5;0.15;11.7;FLA0;FIB2
HC;FD_FLA0FIB2;3;4.35;13.95;0;13.95;14.85;7.8;11.55;0;14.85;0.3;15;6.9;15;FLA0;FIB2
HC;FD_FLA1FIB0;1;13.5;14.7;0;2.7;0.9;7.2;9.45;11.55;7.5;7.65;15;3.45;0;FLA1;FIB0
HC;FD_FLA1FIB0;2;12.6;15;0;1.65;0.9;8.85;8.4;6.9;12.9;1.65;12.15;4.95;0;FLA1;FIB0
HC;FD_FLA1FIB0;3;13.5;13.05;0;2.85;0;6;8.4;7.5;7.95;6.3;7.5;4.2;0;FLA1;FIB0
HC;FD_FLA1FIB1;1;9.45;14.1;0.15;11.25;15;1.35;8.25;8.1;14.85;3.6;13.95;9.75;7.95;FLA1;FIB1
HC;FD_FLA1FIB1;2;11.4;9.9;0.15;10.05;14.85;0.9;4.5;11.25;10.35;3.45;15;5.1;7.5;FLA1;FIB1
HC;FD_FLA1FIB1;3;13.35;13.8;0;12.75;15;0.45;7.95;7.5;15;0;11.7;7.2;6.9;FLA1;FIB1
HC;FD_FLA1FIB2;1;11.55;15;0;3.75;3.3;1.95;0.9;7.8;12;1.95;13.8;10.2;15;FLA1;FIB2
HC;FD_FLA1FIB2;2;14.85;10.95;0.15;1.95;0.6;4.65;1.2;13.65;9.15;5.25;15;1.35;15;FLA1;FIB2
HC;FD_FLA1FIB2;3;0.75;3.6;14.7;4.95;14.7;2.25;2.4;14.55;9;3.15;15;7.35;14.85;FLA1;FIB2
HC;FD_FLA2FIB0;1;0;0.75;9.15;6;0.45;0.15;0.6;14.85;8.4;7.65;15;1.2;0;FLA2;FIB0
HC;FD_FLA2FIB0;2;0;0.15;15;7.2;0.75;0;0.15;15;9.15;6.75;15;14.7;0;FLA2;FIB0
HC;FD_FLA2FIB0;3;0.15;0.15;14.85;7.2;0.3;0;0.15;15;4.5;10.2;15;11.1;0;FLA2;FIB0
HC;FD_FLA2FIB1;1;0.45;0.15;13.2;7.8;0.15;0.15;0.45;15;12.3;5.25;15;14.85;4.95;FLA2;FIB1
HC;FD_FLA2FIB1;2;10.8;7.8;0;0.45;3.45;0.75;0.3;7.2;11.55;7.5;14.85;14.7;3.6;FLA2;FIB1
HC;FD_FLA2FIB1;3;0.15;0.9;15;7.35;0.75;0.75;3.3;14.85;14.4;2.4;14.85;1.8;7.5;FLA2;FIB1
HC;FD_FLA2FIB2;1;0;0.15;15;7.2;0;0.15;0.3;15;12.3;1.95;14.85;0.6;14.85;FLA2;FIB2
HC;FD_FLA2FIB2;2;0;0;15;7.5;0.45;0.15;0;15;15;0.3;15;13.65;15;FLA2;FIB2
HC;FD_FLA2FIB2;3;0.15;0.15;15;7.65;0;0;0.15;15;14.1;0.75;11.85;5.1;14.7;FLA2;FIB2
IW;FD_FLA0FIB0;1;13.5;10.95;0.6;7.5;12.45;6.9;14.1;0.3;3.6;14.25;9.45;5.1;0.6;FLA0;FIB0
IW;FD_FLA0FIB0;2;13.65;3;0.15;5.7;10.65;14.55;8.55;3.45;5.25;12.15;2.7;10.95;0.45;FLA0;FIB0
IW;FD_FLA0FIB0;3;13.05;5.7;0.6;3.75;10.35;13.35;8.4;0.3;10.8;5.25;10.2;5.1;0.3;FLA0;FIB0
IW;FD_FLA0FIB1;1;10.2;3.6;1.2;4.05;12.15;12.75;9.45;2.7;12;6.3;5.1;3.3;11.85;FLA0;FIB1
IW;FD_FLA0FIB1;2;13.2;6.15;0.3;8.85;12.3;8.4;9.9;2.85;9.9;11.55;6;4.8;6.45;FLA0;FIB1
IW;FD_FLA0FIB1;3;12.15;5.55;3.3;11.7;10.2;12.45;7.95;4.2;12.6;8.85;5.55;8.25;6.15;FLA0;FIB1
IW;FD_FLA0FIB2;1;14.1;6.45;4.8;3.45;13.35;9.15;10.5;4.65;12.45;10.8;1.65;5.85;10.65;FLA0;FIB2
IW;FD_FLA0FIB2;2;9.75;8.85;0.15;0.15;4.2;10.8;3.3;5.55;12.3;1.35;9.9;11.55;13.35;FLA0;FIB2
IW;FD_FLA0FIB2;3;12.15;8.1;3.15;0.45;9.9;14.1;4.35;4.5;13.2;3;9.6;5.1;14.4;FLA0;FIB2
IW;FD_FLA1FIB0;1;11.85;13.5;4.5;0.6;5.85;8.55;13.5;4.35;10.5;12.15;0.75;12.75;0.3;FLA1;FIB0
IW;FD_FLA1FIB0;2;5.55;3.6;14.7;5.25;4.2;2.4;9.6;11.85;1.05;2.85;1.65;8.85;0.15;FLA1;FIB0
IW;FD_FLA1FIB0;3;0.75;4.05;14.85;1.35;3.3;2.4;10.65;13.8;13.05;14.1;9.9;5.55;0.45;FLA1;FIB0
IW;FD_FLA1FIB1;1;2.25;4.65;14.7;0.45;3.45;5.55;6.75;12.3;5.55;8.55;2.55;12.6;8.85;FLA1;FIB1
IW;FD_FLA1FIB1;2;0.9;3.6;14.7;0.6;4.5;6.6;9;13.35;9;14.25;5.25;7.95;4.8;FLA1;FIB1
IW;FD_FLA1FIB1;3;3.45;1.5;14.4;5.25;6;9.3;11.7;12.6;5.1;13.35;5.1;11.7;4.2;FLA1;FIB1
IW;FD_FLA1FIB2;1;13.5;4.2;0.15;3.6;7.95;11.1;14.25;3.45;12.75;13.5;6;4.95;9.75;FLA1;FIB2
IW;FD_FLA1FIB2;2;6;14.25;1.65;4.65;2.4;7.8;9.6;0.45;14.4;6;6.75;3.3;9;FLA1;FIB2
IW;FD_FLA1FIB2;3;9.9;12.45;4.8;6.15;7.5;11.1;13.2;5.1;8.1;12.6;11.7;12.75;6.6;FLA1;FIB2
IW;FD_FLA2FIB0;1;0.9;3.45;14.85;0.15;2.4;1.2;4.65;14.7;6;10.35;0.3;2.85;0.15;FLA2;FIB0
IW;FD_FLA2FIB0;2;5.4;3.6;14.7;0.15;1.05;1.65;7.2;14.7;10.95;13.8;1.2;2.55;0.6;FLA2;FIB0
IW;FD_FLA2FIB0;3;0.45;3.15;14.7;2.25;3.3;5.4;8.7;14.4;9.6;14.55;3.9;6;0.6;FLA2;FIB0
IW;FD_FLA2FIB1;1;10.2;9.15;10.95;4.5;4.05;3.75;12.75;8.1;7.65;10.05;2.4;10.35;7.65;FLA2;FIB1
IW;FD_FLA2FIB1;2;6.9;4.05;13.2;0.3;2.85;2.4;8.55;12.3;7.35;8.55;0.6;8.4;3.6;FLA2;FIB1
IW;FD_FLA2FIB1;3;2.55;9.6;11.1;5.4;1.8;2.85;12.3;10.5;4.35;13.05;2.7;11.55;4.5;FLA2;FIB1
IW;FD_FLA2FIB2;1;3.45;5.55;14.1;5.25;1.05;4.95;7.65;12.6;12.15;11.25;4.5;9;14.25;FLA2;FIB2
IW;FD_FLA2FIB2;2;4.8;3.75;14.25;0.3;0.3;6;11.7;12.9;11.55;11.55;9.6;12.3;5.4;FLA2;FIB2
IW;FD_FLA2FIB2;3;1.65;3.75;14.55;2.4;11.7;12.15;10.35;6.45;7.8;10.05;4.05;8.85;7.2;FLA2;FIB2
JP;FD_FLA0FIB0;1;0;15;0;3.3;0.15;7.65;14.85;1.35;0;8.85;10.95;2.85;0.75;FLA0;FIB0
JP;FD_FLA0FIB0;2;7.65;2.85;0;0.15;0.15;0.9;10.65;1.2;2.1;8.4;11.85;2.4;2.4;FLA0;FIB0
JP;FD_FLA0FIB0;3;4.65;10.65;0.15;0.3;0.15;0;15;0;0;15;0.75;15;0;FLA0;FIB0
JP;FD_FLA0FIB1;1;10.95;6.15;2.85;2.1;10.65;14.85;4.5;0.3;6.15;2.1;4.8;3.6;10.8;FLA0;FIB1
JP;FD_FLA0FIB1;2;6;5.85;2.1;7.8;4.05;13.65;11.4;2.85;2.7;4.35;3.6;7.05;7.35;FLA0;FIB1
JP;FD_FLA0FIB1;3;14.4;8.85;4.95;4.8;4.8;3.9;12.9;3.45;2.25;10.05;12.15;11.55;9.45;FLA0;FIB1
JP;FD_FLA0FIB2;1;4.65;3.45;3;9.6;3;3.6;7.95;3.9;2.7;5.85;2.7;1.2;14.25;FLA0;FIB2
JP;FD_FLA0FIB2;2;15;10.8;2.7;6.6;7.05;14.55;7.95;3.9;7.95;0.45;7.65;3.9;14.4;FLA0;FIB2
JP;FD_FLA0FIB2;3;9.15;2.85;2.7;8.4;8.25;13.35;9.15;3.15;7.35;6.6;9.3;0.75;14.4;FLA0;FIB2
JP;FD_FLA1FIB0;1;10.05;2.1;1.65;7.35;0.9;14.1;6.6;6.9;1.95;8.55;7.35;4.95;3;FLA1;FIB0
JP;FD_FLA1FIB0;2;13.65;7.2;3.15;5.55;3.75;2.25;15;3;3.45;6.75;11.55;0.45;4.2;FLA1;FIB0
JP;FD_FLA1FIB0;3;6.6;5.1;0.6;0;0;1.95;13.5;2.85;2.1;7.35;6.75;1.35;8.85;FLA1;FIB0
JP;FD_FLA1FIB1;1;14.7;1.8;2.85;11.25;2.25;13.65;5.25;1.2;6;3.3;2.85;11.55;7.05;FLA1;FIB1
JP;FD_FLA1FIB1;2;13.35;3;6;1.2;9;0.15;6.75;4.2;0;13.5;3.45;14.4;7.05;FLA1;FIB1
JP;FD_FLA1FIB1;3;6.75;3.45;2.1;5.7;4.5;14.4;7.35;2.7;6.9;6;6;2.85;10.95;FLA1;FIB1
JP;FD_FLA1FIB2;1;4.5;5.25;0.45;7.8;0.45;9.3;7.95;1.8;5.4;3.3;5.1;0.45;11.55;FLA1;FIB2
JP;FD_FLA1FIB2;2;7.2;0;10.8;1.5;0.45;6.45;6.3;3.9;0.9;5.7;3;3.3;15;FLA1;FIB2
JP;FD_FLA1FIB2;3;1.5;0.3;0.3;0.45;0.3;6.75;2.4;0.3;4.5;0.9;1.8;1.35;14.85;FLA1;FIB2
JP;FD_FLA2FIB0;1;0.15;3.3;13.5;4.05;0.45;8.55;3.75;8.25;0.3;7.35;5.4;10.35;3.15;FLA2;FIB0
JP;FD_FLA2FIB0;2;0.75;3.15;7.95;0.75;0.6;9.9;7.5;8.4;2.4;8.25;8.25;7.35;4.95;FLA2;FIB0
JP;FD_FLA2FIB0;3;0;0;15;0.15;0.45;0;6.9;12.6;0.6;12.6;14.55;4.05;0.3;FLA2;FIB0
JP;FD_FLA2FIB1;1;7.95;6.15;3.9;3.45;1.65;14.55;11.25;10.35;2.7;6.15;6.15;1.65;10.95;FLA2;FIB1
JP;FD_FLA2FIB1;2;15;0.3;4.35;9.9;12.75;13.2;10.2;3.45;2.55;11.1;10.05;3.45;5.85;FLA2;FIB1
JP;FD_FLA2FIB1;3;0;0;15;0;0;14.85;2.1;7.35;0.15;13.8;10.8;1.5;9.6;FLA2;FIB1
JP;FD_FLA2FIB2;1;5.25;0.15;7.8;0.6;0.15;12.9;4.2;4.5;7.5;0.15;1.05;0.15;14.7;FLA2;FIB2
JP;FD_FLA2FIB2;2;0.3;0.15;8.25;1.8;0.9;12.6;3;0.9;5.7;4.35;2.1;2.25;11.4;FLA2;FIB2
JP;FD_FLA2FIB2;3;4.2;0.45;7.05;0.3;0.15;9.3;3.15;7.2;4.2;5.1;5.1;0;12;FLA2;FIB2
LR;FD_FLA0FIB0;1;1.2;7.8;0.6;0;0;7.8;11.4;2.25;7.95;13.35;15;10.2;0;FLA0;FIB0
LR;FD_FLA0FIB0;2;1.2;6.9;1.65;15;15;7.65;11.1;0.9;15;12.9;15;15;9.75;FLA0;FIB0
LR;FD_FLA0FIB0;3;10.65;7.5;0;15;15;3;10.05;1.35;14.55;12;7.5;13.35;7.65;FLA0;FIB0
LR;FD_FLA0FIB1;1;1.05;1.95;0;15;15;1.5;4.8;0;15;12.15;15;11.7;15;FLA0;FIB1
LR;FD_FLA0FIB1;2;1.95;3.45;0.15;15;15;0.6;5.55;0;15;11.4;15;10.35;13.95;FLA0;FIB1
LR;FD_FLA0FIB1;3;6.75;2.4;6.75;14.1;15;3;11.7;3.3;15;11.25;15;15;15;FLA0;FIB1
LR;FD_FLA0FIB2;1;7.35;7.5;0;15;15;7.8;12.15;0;15;10.95;15;11.1;15;FLA0;FIB2
LR;FD_FLA0FIB2;2;7.2;7.05;0;15;15;7.35;11.25;0.9;15;10.65;15;12.3;15;FLA0;FIB2
LR;FD_FLA0FIB2;3;6.6;3.9;0;15;15;6.9;6.9;0;15;11.4;15;9.9;15;FLA0;FIB2
LR;FD_FLA1FIB0;1;0.3;2.4;15;0;0;1.35;7.05;15;7.35;15;0;15;0;FLA1;FIB0
LR;FD_FLA1FIB0;2;0.15;0.75;15;0;0;2.1;7.35;15;7.5;15;0;14.1;0;FLA1;FIB0
LR;FD_FLA1FIB0;3;0;1.2;15;0;0;0;2.4;15;7.5;15;0;11.85;0;FLA1;FIB0
LR;FD_FLA1FIB1;1;0.45;0.6;7.35;7.2;0;0;7.8;11.1;11.25;7.8;7.65;15;12.6;FLA1;FIB1
LR;FD_FLA1FIB1;2;0;7.05;15;7.05;1.05;2.85;7.65;3.15;7.65;7.5;15;12.45;12.6;FLA1;FIB1
LR;FD_FLA1FIB1;3;0.45;1.95;15;7.05;6.9;7.5;11.1;7.5;13.35;13.35;15;10.65;15;FLA1;FIB1
LR;FD_FLA1FIB2;1;3;3.15;0.75;15;15;3.6;3.75;1.05;15;12.15;15;10.5;15;FLA1;FIB2
LR;FD_FLA1FIB2;2;0;0;15;1.05;0;0.9;7.2;11.25;11.25;14.4;15;11.85;15;FLA1;FIB2
LR;FD_FLA1FIB2;3;6.6;6.75;10.05;15;15;7.05;9.6;7.35;15;11.55;15;8.85;15;FLA1;FIB2
LR;FD_FLA2FIB0;1;0.15;1.65;15;0;0;0.15;7.35;15;7.35;15;0;10.8;0;FLA2;FIB0
LR;FD_FLA2FIB0;2;0;1.65;15;0;0;0;7.35;15;7.5;15;0;11.7;0;FLA2;FIB0
LR;FD_FLA2FIB0;3;0;0.75;15;0;0;0.3;4.95;15;2.25;15;7.8;13.05;0;FLA2;FIB0
LR;FD_FLA2FIB1;1;0;0;15;10.35;7.05;0.75;7.5;15;10.2;15;15;15;15;FLA2;FIB1
LR;FD_FLA2FIB1;2;0;0;15;0;0;0;6.9;15;11.7;15;7.35;15;11.55;FLA2;FIB1
LR;FD_FLA2FIB1;3;0;2.7;15;2.7;2.4;1.95;7.8;15;8.25;13.35;15;15;15;FLA2;FIB1
LR;FD_FLA2FIB2;1;0;0;15;0.9;0;2.55;6.45;13.8;10.5;14.1;7.95;15;15;FLA2;FIB2
LR;FD_FLA2FIB2;2;0;3.3;15;0.9;0;0;0.75;13.05;13.05;13.2;7.8;11.25;15;FLA2;FIB2
LR;FD_FLA2FIB2;3;0;0;13.65;0.75;0;0;3.15;15;6.9;15;0.75;15;15;FLA2;FIB2
SB;FD_FLA0FIB0;1;11.25;2.4;1.5;0;8.1;14.25;9;1.8;9.9;3.6;8.25;8.7;2.1;FLA0;FIB0
SB;FD_FLA0FIB0;2;13.2;3.3;1.35;1.35;12.75;13.5;10.2;2.55;5.55;8.7;12.9;10.5;0;FLA0;FIB0
SB;FD_FLA0FIB0;3;4.65;8.7;0;0;8.1;10.05;8.1;1.05;4.35;8.4;5.1;4.8;0;FLA0;FIB0
SB;FD_FLA0FIB1;1;10.35;6.3;5.25;2.85;11.85;12;8.55;2.4;6.45;10.2;13.5;9.75;2.25;FLA0;FIB1
SB;FD_FLA0FIB1;2;4.5;5.55;5.25;6.9;4.65;7.05;5.1;4.35;3.9;7.8;4.65;5.1;2.4;FLA0;FIB1
SB;FD_FLA0FIB1;3;7.65;6.15;2.25;7.8;4.5;8.85;4.5;0;3.3;7.65;9.9;5.1;4.2;FLA0;FIB1
SB;FD_FLA0FIB2;1;4.05;7.5;6;7.05;10.95;5.55;9.75;1.8;11.7;5.85;13.2;1.65;10.35;FLA0;FIB2
SB;FD_FLA0FIB2;2;6.9;7.8;2.7;7.05;11.85;6.75;7.2;0;10.95;4.95;13.35;10.8;14.85;FLA0;FIB2
SB;FD_FLA0FIB2;3;2.25;3;2.4;5.7;8.7;4.5;5.25;2.4;7.05;4.5;13.95;4.8;7.8;FLA0;FIB2
SB;FD_FLA1FIB0;1;9.45;12.15;9.45;1.5;0;13.8;8.7;3.3;4.5;7.2;13.8;10.35;0;FLA1;FIB0
SB;FD_FLA1FIB0;2;5.25;9.9;11.55;6;4.35;9.75;10.35;2.85;7.95;8.1;5.25;8.55;0;FLA1;FIB0
SB;FD_FLA1FIB0;3;8.4;7.2;0;3.45;0.15;10.5;10.2;8.55;7.35;7.5;10.2;7.95;0;FLA1;FIB0
SB;FD_FLA1FIB1;1;5.1;6.9;9;5.1;2.1;3.45;9.3;9.15;7.95;5.55;3.75;4.2;3.75;FLA1;FIB1
